time_sec	local_bandwidth_mbps	remote_bandwidth_mbps
0	1.70	0.20
2	2.40	0.60
3	0.10	0.10
5	0.30	0.00
6	0.00	0.10
7	0.10	0.30
9	0.80	2.40
10	11.40	45.40
12	12.80	37.70
13	1085.80	2.10
15	5054.60	2.90
16	6122.60	1.30
18	4865.20	10.20
19	4529.90	15.10
20	4455.00	17.70
22	4038.20	13.90
23	4099.70	11.00
24	4505.20	22.20
26	13934.00	9.60
27	10811.80	9.40
29	14441.30	17.00
30	14916.60	16.60
31	9445.20	10.40
33	4609.80	4.30
34	0.00	0.20
36	0.80	0.30
37	1.00	0.10
38	0.20	0.10
40	1.20	0.20
41	0.30	0.20
43	4039.40	27.20
44	5000.90	39.60
46	4989.60	39.30
47	5074.90	36.90
48	5082.60	26.00
50	5108.10	29.70
51	5115.60	29.60
52	5118.50	30.40
54	0.90	1.40
55	0.60	0.10
56	0.10	0.50
58	0.00	0.10
59	0.00	0.10
61	0.00	0.10
62	0.10	0.10
63	4949.90	13.60
65	5050.90	43.70
66	5048.30	32.60
67	5060.00	31.60
69	5085.10	25.80
70	5109.90	25.20
71	5054.50	25.30
73	3857.50	16.60
74	0.10	0.40
75	0.00	0.50
77	0.50	0.20
78	1.10	0.00
80	1.40	0.20
81	0.10	0.20
83	1010.30	4.90
84	5018.90	23.50
85	4985.30	38.80
87	5087.20	32.60
88	5054.20	26.20
89	5051.40	25.70
91	5088.20	27.90
92	5106.20	23.20
93	2418.80	13.00
95	0.80	0.50
96	0.00	0.10
98	0.00	0.00
99	0.00	0.20
100	0.20	0.00
102	1.60	0.00
103	2924.80	7.00
105	4997.80	32.30
106	5008.70	39.30
107	5062.70	30.50
109	5065.40	30.20
110	5095.10	29.20
111	5147.50	25.00
113	5124.20	27.80
114	263.00	1.60
115	0.10	0.10
117	0.00	0.30
118	0.20	0.00
120	0.30	0.00
121	0.10	0.20
123	0.00	0.00
124	650.90	33.60
126	16.50	5.50
127	2.00	0.10
128	0.20	0.00
